z_m,O2_M,Fe2_M,Fe3_M,SO4_M,H_M,pH,z_norm,O2_shape,Fe2_shape,Fe3_shape,SO4_shape,H_shape
2.3366835,5.56086e-08,0.00031192478,7.100709e-05,0.0046340143,0.0066262977,2.178729,0.4673367,0.9999654354900088,1.0,0.7623619661878195,0.8986319403742633,0.8036456698500442
2.361809,5.5314867e-08,0.00031184204,7.100864e-05,0.004634337,0.00662656,2.178712,0.4723618,0.9999665532635652,1.0,0.7661487344864611,0.8998506033269075,0.806800183281677
2.3869348,5.5032388e-08,0.00031175948,7.1010174e-05,0.004634658,0.0066268216,2.1786947,0.47738696,0.9999676282110734,1.0,0.7698964135639462,0.9010628463011859,0.8099462782634375
2.4120603,5.4760854e-08,0.00031167697,7.101167e-05,0.004634977,0.006627081,2.1786778,0.48241206,0.9999686615084042,1.0,0.7735512557412133,0.9022675363597376,0.8130659152598787
2.437186,5.449944e-08,0.0003115947,7.1013135e-05,0.004635295,0.0066273394,2.1786609,0.4874372,0.9999696562950184,1.0,0.7771303625525121,0.903468449960424,0.8161735258993519
2.4623115,5.4247764e-08,0.00031151267,7.101459e-05,0.004635609,0.006627596,2.178644,0.4924623,0.9999706140245809,1.0,0.7806850386005922,0.9046542577296535,0.8192594890963035
2.4874372,5.400549e-08,0.00031143078,7.101602e-05,0.004635923,0.0066278502,2.1786273,0.49748744,0.9999715359757086,1.0,0.784178637740642,0.9058400654988862,0.8223165890365318
2.5125628,5.3772087e-08,0.0003113491,7.101741e-05,0.004636236,0.006628103,2.1786108,0.50251256,0.9999724241690727,1.0,0.7875745138278167,0.9070220968102538,0.8253568520770049
2.5376885,5.354699e-08,0.0003112677,7.1018796e-05,0.004636547,0.006628354,2.1785944,0.5075377,0.9999732807547279,1.0,0.7909606176096776,0.9081965752058945,0.8283754676749565
2.562814,5.332996e-08,0.0003111866,7.102016e-05,0.0046368567,0.006628603,2.178578,0.5125628,0.9999741066421662,1.0,0.7942929737125101,0.909366144206309,0.8313700305589721
2.5879397,5.312054e-08,0.0003111058,7.1021495e-05,0.0046371645,0.0066288505,2.1785617,0.5175879400000001,0.9999749035704589,1.0,0.7975544806019651,0.9105285379367848,0.8343465539075408
2.6130652,5.2918512e-08,0.00031102521,7.102282e-05,0.004637471,0.0066290963,2.1785457,0.52261304,0.9999756723691844,1.0,0.8007915567282345,0.9116860222720375,0.837302632449269
2.638191,5.272338e-08,0.00031094503,7.102412e-05,0.0046377764,0.0066293394,2.1785297,0.5276382,0.9999764149258248,1.0,0.8039675559464406,0.9128393525036403,0.8402262398271992
2.6633165,5.253498e-08,0.00031086509,7.10254e-05,0.0046380796,0.006629582,2.1785138,0.5326633000000001,0.9999771318644666,1.0,0.8070946936382422,0.9139843745279433,0.8431438340266506
2.6884422,5.2352895e-08,0.00031078557,7.102666e-05,0.0046383813,0.0066298223,2.178498,0.5376884399999999,0.9999778247719642,1.0,0.8101729698035732,0.9151237318654503,0.8460337676050809
2.7135677,5.217696e-08,0.00031070632,7.102791e-05,0.004638683,0.0066300607,2.1784825,0.54271354,0.9999784942762101,1.0,0.8132268152057186,0.9162630892029572,0.848900851105277
2.7386935,5.200683e-08,0.00031062742,7.102914e-05,0.004638983,0.0066302978,2.178467,0.5477387,0.9999791416900694,1.0,0.8162317990813933,0.9173960265620952,0.85175230034142
2.763819,5.184234e-08,0.00031054902,7.103036e-05,0.0046392814,0.0066305324,2.1784515,0.5527637999999999,0.9999797676414345,1.0,0.8192123521938824,0.918522921588649,0.8545736836851586
2.7889447,5.1683106e-08,0.0003104709,7.1031565e-05,0.004639578,0.0066307643,2.1784365,0.55778894,0.9999803735915814,1.0,0.8221562591615268,0.9196430189910522,0.8573625958650887
2.8140702,5.152907e-08,0.00031039322,7.103275e-05,0.0046398737,0.0066309953,2.1784213,0.56281404,0.9999809597612237,1.0,0.8250513046027669,0.9207597175813752,0.8601406843237632
2.839196,5.1379907e-08,0.00031031598,7.103391e-05,0.004640169,0.006631224,2.1784062,0.5678392,0.9999815273871185,1.0,0.8278852731359434,0.9218749055885554,0.8628911121614061
2.8643217,5.1235375e-08,0.00031023906,7.1035065e-05,0.004640463,0.006631451,2.1783915,0.57286434,0.9999820773901745,1.0,0.830707026287494,0.9229851842005095,0.865621095192219
2.8894472,5.1095544e-08,0.0003101626,7.1036215e-05,0.0046407543,0.0066316756,2.1783767,0.5778894400000001,0.9999826095040133,1.0,0.8335165640574519,0.9240852663762327,0.868322214966319
2.914573,5.095993e-08,0.00031008656,7.1037335e-05,0.0046410454,0.006631898,2.1783621,0.5829146,0.9999831255704514,1.0,0.8362528095377535,0.9251845932603828,0.8709968767550894
2.9396985,5.0828454e-08,0.00031001098,7.1038456e-05,0.004641334,0.0066321185,2.1783478,0.5879397,0.9999836258901164,1.0,0.8389914980944001,0.9262744789998753,0.8736486884656363
2.9648242,5.0701136e-08,0.0003099358,7.103956e-05,0.0046416223,0.006632337,2.1783335,0.5929648399999999,0.9999841103868997,1.0,0.841688654353545,0.9273632318020065,0.8762764474622574
2.9899497,5.057757e-08,0.00030986106,7.1040646e-05,0.0046419105,0.0066325543,2.1783192,0.5979899399999999,0.9999845806057966,1.0,0.8443418352389426,0.9284516069583496,0.878889774830517
3.0150752,5.045771e-08,0.00030978676,7.104173e-05,0.004642195,0.0066327676,2.1783051,0.6030150400000001,0.9999850367218561,1.0,0.84699012997165,0.9295260092206,0.8814549967709149
3.040201,5.0341452e-08,0.0003097129,7.1042785e-05,0.00464248,0.0066329804,2.1782913,0.6080402,0.9999854791308401,1.0,0.8495675754910463,0.9306022997117814,0.8840142055328444
3.0653267,5.0228525e-08,0.0003096395,7.104384e-05,0.0046427636,0.00663319,2.1782775,0.61306534,0.9999859088640142,1.0,0.8521450210104425,0.9316733031619517,0.8865349299524763
